T_1,T_2,T_3
190,191,0.000607724099792484
330,338,0.00290852874749425
64,78,0.00443399520848364
7,27,0.00490874668038921
185,188,0.00554077868584169
22,33,0.00659494034787045
150,218,0.00964181827545563
2,8,0.0170522490115749
208,216,0.0173207540670133
286,420,0.0174621177377454
35,118,0.0179411050318594
193,270,0.0181206553942169
61,69,0.0240858283045617
205,242,0.0251584889377711
176,183,0.0254107211148995
14,47,0.0280039534970481
513,79,0.0282702913669841
165,169,0.0285888776342125
125,345,0.0292902462456311
115,512,0.0306872772278676
213,250,0.0314906063846746
140,422,0.0323621260914077
5,119,0.0332547400438103
232,244,0.0354255666431565
101,127,0.0399792322481369
91,304,0.0417058518416419
53,66,0.0422354825141368
210,224,0.0437244236228836
167,189,0.0438689548386252
523,106,0.0482587242661134
287,336,0.0500638418455024
198,361,0.0536182659673146
108,143,0.0606386466609813
54,71,0.0609552293390421
105,354,0.0629816477510082
178,265,0.0637742742869488
252,341,0.0646306075120064
521,236,0.0651013140594834
15,20,0.0670215607652486
249,494,0.0690146582354757
59,246,0.0690680122165577
508,31,0.0691893628185476
134,285,0.0709198462397164
67,219,0.0715665303991745
112,126,0.075451994508792
160,179,0.0757567057885737
58,65,0.0769376063868022
258,272,0.077493675693547
60,68,0.0822572810003945
52,94,0.0897990329643746
129,136,0.091155712864075
162,166,0.100852550207767
164,199,0.102174896993619
222,479,0.102935280691633
74,142,0.103598714189589
87,477,0.106997804590634
408,475,0.109380403139169
173,194,0.112904992793029
132,331,0.113379120659159
103,122,0.114166264166439
104,114,0.118087675512426
56,70,0.118709404338406
154,161,0.12412293520092
116,135,0.124346369657867
530,543,0.132561861003062
253,324,0.13316674270154
40,49,0.135518261220961
12,506,0.135591245555285
294,491,0.138344950177946
204,221,0.144528017823734
230,540,0.146719971752614
529,505,0.147483429024236
503,81,0.147847936991613
18,23,0.149515910376417
545,519,0.150196370786855
542,399,0.151050468557673
36,42,0.159342670866998
525,471,0.163665671985143
10,29,0.166062368893989
305,429,0.166508809473311
63,100,0.167095053356027
283,476,0.173682740614402
102,231,0.175691913008074
159,171,0.177819213505999
535,107,0.180541188576709
271,531,0.180599527062312
157,546,0.189524320977728
177,197,0.189855628561437
174,186,0.191588629260842
217,238,0.193778652849217
564,128,0.194051019298043
514,215,0.199192378263154
353,363,0.201443741224268
381,449,0.202367030045541
73,80,0.206793074768479
335,455,0.20926598427837
201,554,0.209407837216053
527,85,0.209831473660988
21,289,0.210317360325526
555,139,0.210617489908431
225,235,0.211046093977107
38,46,0.21400141503035
343,557,0.214421512356866
541,544,0.21443383766907
17,28,0.217698827700042
170,192,0.217972044945991
25,37,0.225267933895941
223,245,0.229362866856628
581,556,0.229863668939705
152,182,0.231087455050313
3,516,0.235484012570713
547,62,0.239659302592319
534,409,0.240298344241029
209,241,0.242549531980676
4,539,0.243353478732
573,95,0.248594672347435
11,24,0.248776929199341
561,133,0.253050473146891
110,507,0.256254754341192
563,532,0.25647425451394
155,553,0.256537243792909
583,229,0.256737733099027
9,30,0.257344772858986
163,184,0.262036510776906
202,247,0.262230165080916
552,175,0.262915760630979
355,392,0.266461626967063
89,372,0.269715305930199
34,602,0.275475110615902
509,212,0.278379225814112
19,43,0.287520236988163
131,148,0.287608934196996
598,628,0.28846499383215
295,379,0.290246331280146
623,617,0.295218094189272
350,402,0.295973187827084
339,397,0.299864757312817
584,515,0.300186880015124
72,90,0.303066180617089
130,137,0.305419097903199
578,120,0.305490678142378
386,468,0.305624101473894
226,243,0.306306149048443
562,75,0.306533561413839
151,518,0.311644280543295
587,180,0.312020532067876
520,144,0.319084767188492
570,323,0.320555481757835
309,417,0.323659645875667
141,145,0.323908219942055
195,448,0.32440149795756
517,616,0.326571202980649
16,497,0.329496920875337
273,596,0.330415531725689
447,482,0.332471045001812
577,50,0.332498013387314
604,538,0.332697419167983
290,458,0.33316661161466
206,240,0.334117178906102
124,138,0.337942506363256
549,427,0.339601452740277
76,92,0.340618838208971
607,32,0.341766641276835
522,149,0.347038841458396
565,599,0.350636531679074
611,550,0.354007761176791
26,237,0.354054422438642
153,168,0.357847990939962
592,228,0.358347485235963
276,325,0.36015397020256
575,632,0.360217878972119
633,613,0.363028646118419
298,388,0.364039295309929
625,407,0.369954420876547
622,619,0.37066838186933
352,365,0.374850724797245
156,200,0.377991903143019
158,362,0.382268409775386
574,48,0.384554669746344
626,460,0.386675267654599
606,172,0.391678133568671
576,457,0.392692393933252
329,485,0.395478989767659
533,640,0.395782058239469
643,537,0.39744118950059
597,630,0.403543065709391
434,459,0.4044724643521
610,588,0.407072787159387
423,480,0.407876483987503
86,98,0.408261455619591
333,462,0.413488147101953
1,45,0.414354436015315
55,595,0.415182376184052
259,274,0.416843394600115
600,498,0.421504030141016
589,196,0.423708741272044
646,638,0.427946932009949
214,601,0.429280628431151
291,383,0.431839206731955
614,371,0.432027725749718
111,559,0.437693434349196
653,656,0.440671567971306
579,41,0.443741433976444
551,424,0.4447648258163
39,280,0.445641106928016
57,77,0.44574204625515
657,669,0.445866809713804
203,590,0.447701963824669
560,671,0.448220121633897
650,487,0.450552982996741
322,344,0.451733662187911
97,438,0.453306685635663
278,373,0.455864898566174
682,615,0.456244254832214
528,233,0.45945405820838
641,701,0.462446672136858
357,443,0.465109218904483
612,366,0.469632943587067
605,254,0.469742128801657
380,437,0.471032060578577
387,419,0.472236316638732
586,454,0.473814650804513
113,117,0.475065508060052
624,404,0.475138147855486
660,415,0.475566543007904
263,368,0.478092220885644
320,394,0.479634850320075
293,400,0.484682506287894
571,524,0.48720673947042
311,393,0.487686577725009
635,679,0.49396626311756
220,446,0.494412981062078
706,690,0.496594483257815
695,725,0.496957538081549
389,410,0.496971180607377
558,651,0.498275486558672
714,663,0.505569983849114
13,629,0.505927605564564
620,466,0.506989209339457
187,501,0.5104296158842
677,681,0.512079013360577
284,318,0.514170282764137
684,647,0.517352734720701
713,594,0.518372785742814
672,693,0.519684194692704
688,741,0.520719082201888
665,511,0.527944655469568
255,268,0.528482657028883
697,724,0.52865422113889
303,319,0.535242875776251
662,83,0.537457118046928
585,439,0.53920285323081
711,627,0.539537240302531
536,452,0.539771799874672
346,492,0.540539271617678
742,691,0.541128859897342
707,729,0.543284427859595
710,727,0.545374025257571
264,421,0.55168003518647
683,450,0.55266309903044
618,147,0.553326004898051
109,256,0.55438518544957
670,445,0.556062132686069
731,738,0.557325223725845
737,764,0.533552899115981
644,609,0.558647639334834
207,464,0.563862430866548
639,751,0.564422580647493
648,211,0.565551457292348
769,700,0.539502535714776
757,770,0.353238677110339
569,425,0.56596162662654
418,461,0.568590812635564
702,631,0.56919218699902
765,774,0.548570380266242
766,733,0.570346558570842
292,359,0.57348137570541
654,481,0.573508617076887
745,768,0.573865545905145
779,776,0.458921702619535
666,718,0.576477678472899
248,267,0.578211960855921
99,391,0.579713335069694
716,743,0.584731933547491
313,478,0.585249860501801
504,667,0.585767458258318
181,502,0.590374782211695
621,572,0.590545779884881
788,749,0.55568449928877
463,465,0.594471878242058
317,428,0.597044155895002
661,93,0.599687994102851
260,306,0.617835015824003
676,472,0.622192333305902
746,789,0.623674849567588
307,486,0.627117174679168
674,708,0.627232881717975
385,444,0.631612526607351
692,703,0.632217563384263
799,775,0.544089374620986
370,436,0.634512781485103
364,433,0.635140000125733
675,761,0.635618861632457
316,406,0.636595341309293
698,234,0.639725646775191
771,805,0.518286745674694
699,302,0.645000611358462
709,146,0.646672534407706
704,739,0.647024796687055
405,484,0.647949201406348
736,740,0.648990446367806
351,403,0.648996658926747
340,687,0.65796716751032
566,500,0.658410916982703
803,723,0.661973274675657
784,815,0.575073445642754
808,664,0.668231148981636
816,817,0.513499553318802
251,726,0.668593154900519
548,321,0.671605252590742
820,759,0.673361746029044
51,652,0.67677499839631
668,720,0.676930065453693
795,823,0.578198993759973
275,282,0.68591567903165
762,591,0.686629341340548
686,227,0.686844380295046
806,827,0.631814607280061
712,374,0.6949434620497
312,689,0.694951055872814
747,750,0.697672278062594
658,411,0.698923811368831
825,496,0.701598333137085
781,832,0.702770336894293
834,780,0.559531080232414
358,470,0.703767472301172
257,384,0.704248195206035
728,376,0.706885765820932
796,830,0.710553270750134
828,797,0.712670599933995
696,787,0.713339903546747
719,44,0.714455350380922
82,685,0.714809778353097
6,326,0.717097159964328
288,441,0.717311185838048
694,431,0.718688142068443
715,413,0.719542788860444
277,760,0.720319905640725
848,845,0.692982181977874
804,378,0.721581417273071
818,826,0.727528548366878
673,342,0.730814110892813
634,314,0.734972644714136
680,367,0.735303144667245
811,841,0.735647309733638
824,855,0.297500332688935
526,678,0.736524950047231
758,807,0.737315157071963
495,499,0.744726662408766
814,791,0.750732298642994
756,790,0.753154851452324
705,645,0.753370374134617
753,390,0.753658615639924
844,382,0.754804830886274
767,852,0.755941560585846
721,416,0.756274664563347
836,866,0.757312818879735
84,603,0.760732684787931
868,798,0.616172475796199
748,744,0.761972848514496
853,755,0.76852434069465
800,786,0.768676857633276
123,456,0.774103420178201
88,96,0.778912571649564
822,874,0.700759108956372
835,875,0.694923983004234
850,801,0.77970243784869
279,395,0.780807813272652
121,785,0.784218820404073
879,794,0.773539025185007
734,851,0.786502405662025
300,467,0.789859068989156
872,882,0.741923513537217
754,636,0.790465385231758
582,483,0.791330854875854
349,430,0.792035797886913
435,469,0.792344311727623
356,473,0.793662142451276
262,296,0.79494766098799
819,348,0.795628683267097
735,442,0.79689149532096
772,649,0.79835110087727
792,892,0.781716966467829
870,813,0.807273735278623
893,821,0.807402434288413
659,802,0.810113158332265
842,810,0.814069279643906
568,398,0.817066582880799
831,898,0.704079774645576
899,838,0.803241555239975
752,414,0.81951406757056
880,888,0.825675507966573
337,593,0.82778782756482
837,903,0.787390432031141
896,904,0.812325107678702
732,833,0.836763459299462
763,580,0.845727380899026
906,871,0.849035430727596
440,451,0.854081859824886
884,846,0.856448233428884
328,377,0.856918639701424
310,396,0.857689775093036
889,863,0.85853681855665
912,812,0.859107872454577
914,891,0.848590924554523
901,887,0.859206346951418
778,642,0.860425946304164
334,426,0.863119285839361
840,843,0.863120557170165
857,878,0.871923046392835
858,490,0.872913480311101
722,412,0.87432713422263
869,922,0.84702659035392
885,432,0.874371668959615
608,777,0.876775229348854
793,859,0.879397595815889
809,375,0.881406002015983
881,927,0.853003464145355
829,783,0.881428216700041
876,929,0.816939346372893
900,894,0.885187490498104
717,369,0.885564829583034
905,932,0.885103831798816
862,567,0.893799449352947
883,934,0.80036571446824
877,867,0.894924686573192
637,360,0.906138205924396
510,453,0.908966360534764
401,655,0.912315927964646
935,923,0.913367733780579
919,847,0.915670486708514
269,297,0.920612834058436
347,474,0.922070227428297
239,315,0.922196768074346
944,939,0.844011086553265
902,839,0.922473900513836
920,890,0.924984668362259
921,861,0.927288860835068
782,308,0.928260266723768
942,907,0.92983506356602
913,950,0.9178966145385
854,730,0.931388732605855
943,489,0.934458049549054
910,849,0.94003979985134
281,332,0.942848868862014
864,301,0.945982909519104
261,937,0.946788656299399
908,945,0.947995303678854
897,936,0.949231390394442
873,918,0.950060513225384
856,925,0.950402695658136
860,327,0.95569827827803
949,917,0.962429827678753
938,909,0.966894774203975
299,488,0.968499623948795
957,886,0.969067326666889
773,493,0.979155848280403
954,933,0.980231620523654
865,926,0.986467298114349
